Country / territory of asylum/residence,Origin,Value
Angola,Dem. Rep. of the Congo,20000
Angola,Namibia,50000
Angola,South Africa,5000
United Arab Emirates,Afghanistan,1500
United Arab Emirates,Ethiopia,600
United Arab Emirates,United Rep. of Tanzania,300
United Arab Emirates,Uganda,90
Argentina,Various/Unknown,26460
Argentina,Various/Unknown,60
Australia,Various/Unknown,304000
Austria,Various/Unknown,15525
Burundi,Dem. Rep. of the Congo,50750
Burundi,Rwanda,183810
Belgium,Various/Unknown,33000
Belize,El Salvador,4000
Bolivia (Plurinational State of),Various/Unknown,500
Brazil,Various/Unknown,24000
Botswana,Angola,330
Botswana,Lesotho,70
Botswana,Namibia,120
Botswana,Various/Unknown,320
Botswana,South Africa,300
Botswana,Zimbabwe,160
Botswana,Zimbabwe,22440
Central African Rep.,Chad,7000
Canada,Various/Unknown,92679
Switzerland,Various/Unknown,32000
Chile,Various/Unknown,1500
China,Viet Nam,263000
Cameroon,Equatorial Guinea,18000
Cameroon,Chad,110000
Dem. Rep. of the Congo,Angola,426700
Dem. Rep. of the Congo,Angola,200000
Dem. Rep. of the Congo,Burundi,11000
Dem. Rep. of the Congo,Rwanda,22000
Dem. Rep. of the Congo,Uganda,150000
Dem. Rep. of the Congo,Uganda,30000
Dem. Rep. of the Congo,Various/Unknown,200
Dem. Rep. of the Congo,Zambia,1210
Colombia,Various/Unknown,2000
Costa Rica,Cuba,700
Costa Rica,Guatemala,750
Costa Rica,Nicaragua,960
Costa Rica,Nicaragua,15000
Costa Rica,El Salvador,7500
Costa Rica,Various/Unknown,150
Cuba,Various/Unknown,2970
Cuba,Various/Unknown,180
Germany,Various/Unknown,94000
Djibouti,Ethiopia,45310
Denmark,Various/Unknown,1800
Dominican Rep.,Haiti,3800
Algeria,Western Sahara,50000
Algeria,Various/Unknown,2000
Ecuador,Various/Unknown,700
Egypt,Ethiopia,850
Egypt,Various/Unknown,590
Spain,Cuba,500
Spain,Various/Unknown,21000
Ethiopia,Sudan,10850
Ethiopia,Various/Unknown,80
France,Various/Unknown,121958
Gabon,Equatorial Guinea,20000
Gabon,Equatorial Guinea,10000
United Kingdom,Various/Unknown,148000
Greece,Greece,340
Greece,Various/Unknown,3410
Guatemala,El Salvador,4130
Guatemala,Various/Unknown,60
"China, Hong Kong SAR",Viet Nam,24070
"China, Hong Kong SAR",Viet Nam,6450
Honduras,El Salvador,25000
Indonesia,Viet Nam,8460
Indonesia,Viet Nam,37420
Iran (Islamic Rep. of),Afghanistan,300000
Iran (Islamic Rep. of),Iraq,30000
Iraq,Eritrea,400
Italy,Afghanistan,191
Italy,Albania,71
Italy,Argentina,38
Italy,Armenia,33
Italy,Burundi,2
Italy,Bulgaria,329
Italy,Brazil,5
Italy,Chile,375
Italy,China,24
Italy,Congo,6
Italy,Cuba,3
Italy,Czech Rep.,393
Italy,Dominican Rep.,1
Italy,Algeria,2
Italy,Egypt,2
Italy,Eritrea,142
Italy,Spain,5
Italy,Ethiopia,218
Italy,Ghana,2
Italy,Guinea-Bissau,2
Italy,Equatorial Guinea,1
Italy,Hungary,763
Italy,Iran (Islamic Rep. of),48
Italy,Iraq,98
Italy,Cambodia,103
Italy,Lao People's Dem. Rep.,96
Italy,Libya,205
Italy,Lithuania,1
Italy,Poland,421
Italy,Romania,772
Italy,Russian Federation,10821
Italy,Rwanda,1
Italy,Sudan,2
Italy,Somalia,34
Italy,Serbia and Kosovo (S/RES/1244 (1999)),270
Italy,Syrian Arab Rep.,2
Italy,Tunisia,2
Italy,United Rep. of Tanzania,1
Italy,Uganda,11
Italy,Uruguay,24
Italy,Viet Nam,2418
Italy,Stateless,8
Italy,Various/Unknown,3604
Italy,Yemen,1
Jordan,Ethiopia,60
Japan,Cambodia,90
Japan,Lao People's Dem. Rep.,220
Japan,Viet Nam,2080
Kenya,Ethiopia,1460
Kenya,Mozambique,120
Kenya,Rwanda,840
Kenya,Somalia,100
Kenya,Uganda,840
Kenya,Uganda,750
Kenya,Various/Unknown,70
Kenya,South Africa,80
Kuwait,Ethiopia,5000
Lao People's Dem. Rep.,Cambodia,10370
Lao People's Dem. Rep.,Cambodia,19940
Lebanon,Armenia,300
Lebanon,Ethiopia,1400
Lebanon,Iraq,1000
Lebanon,Syrian Arab Rep.,500
Lebanon,Various/Unknown,1800
Lesotho,South Africa,10000
"China, Macao SAR",Viet Nam,2920
Morocco,Poland,50
Morocco,Various/Unknown,290
Mexico,El Salvador,44000
Mozambique,Various/Unknown,100
Mozambique,Zimbabwe,150000
Malaysia,Cambodia,1880
Malaysia,Philippines,90000
Malaysia,Viet Nam,12160
Nigeria,Chad,100000
Nicaragua,El Salvador,4000
Nicaragua,Various/Unknown,100
Netherlands,Various/Unknown,12000
Norway,Various/Unknown,6000
Nepal,Tibetan,8700
New Zealand,Various/Unknown,10000
Pakistan,Afghanistan,1428230
Panama,El Salvador,3000
Panama,Various/Unknown,320
Peru,Bolivia (Plurinational State of),170
Peru,Cuba,490
Peru,Various/Unknown,800
Philippines,Viet Nam,20300
Philippines,Viet Nam,6890
Papua New Guinea,Indonesia,1000
Portugal,Various/Unknown,7600
Paraguay,Various/Unknown,800
Qatar,Ethiopia,200
Romania,Chile,1000
Rwanda,Burundi,10150
Rwanda,Burundi,310
Rwanda,Uganda,300
Saudi Arabia,Ethiopia,100000
Sudan,Dem. Rep. of the Congo,5000
Sudan,Dem. Rep. of the Congo,1000
Sudan,Ethiopia,411000
Sudan,Chad,4000
Sudan,Uganda,73000
Senegal,Guinea-Bissau,5000
El Salvador,Various/Unknown,390
El Salvador,Various/Unknown,60
Somalia,Ethiopia,2000000
Serbia and Kosovo (S/RES/1244 (1999)),Albania,1610
Serbia and Kosovo (S/RES/1244 (1999)),Chile,130
Serbia and Kosovo (S/RES/1244 (1999)),Various/Unknown,230
Sweden,Various/Unknown,20000
Swaziland,Various/Unknown,300
Swaziland,South Africa,5170
Syrian Arab Rep.,Ethiopia,350
Thailand,Cambodia,147400
Thailand,Cambodia,175000
Thailand,Lao People's Dem. Rep.,104940
Thailand,Lao People's Dem. Rep.,9000
Thailand,Viet Nam,9020
Turkey,Afghanistan,5000
Turkey,Various/Unknown,1100
United Rep. of Tanzania,Burundi,148620
United Rep. of Tanzania,Dem. Rep. of the Congo,4000
United Rep. of Tanzania,Malawi,70
United Rep. of Tanzania,Various/Unknown,6770
United Rep. of Tanzania,South Africa,150
Uganda,Dem. Rep. of the Congo,32000
Uganda,Ethiopia,1000
Uganda,Rwanda,80000
Uruguay,Various/Unknown,1700
United States of America,Various/Unknown,403684
Venezuela (Bolivarian Republic of),Various/Unknown,17800
Viet Nam,Cambodia,33000
Yemen,Ethiopia,550
Yemen,Yemen,15000
Zambia,Angola,22000
Zambia,Angola,110
Zambia,Dem. Rep. of the Congo,5000
Zambia,Malawi,350
Zambia,Namibia,5500
Zambia,Uganda,60
Zambia,South Africa,3500
Zambia,Zimbabwe,20540
Zimbabwe,South Africa,50