Country / territory of asylum/residence,Origin,Value,%
Burundi,"Congo, Rep.",7000,0.0003498262238
Burundi,"Congo, Rep.",3000,0.0001499255245
Burundi,Rwanda,31800,0.008469743705
Burundi,Rwanda,4200,0.001118645395
Botswana,Angola,4210,0.0006212755747
Central African Republic,"Congo, Rep.",3080,0.0001539235385
Central African Republic,"Congo, Rep.",70,0.000003498262238
Central African Republic,Sudan,22670,0.002204888297
Central African Republic,Chad,1400,0.0003842407499
"Congo, Rep.",Angola,400000,0.05902855816
"Congo, Rep.",Rwanda,24000,0.0063922594
"Congo, Rep.",Sudan,55000,0.005349309939
"Congo, Rep.",Zambia,9000,0.002156242273
"Congo, Rep.",Zambia,4000,0.0009583298993
Cyprus,Armenia,200,0.00007920588183
Ethiopia,Sudan,21000,0.002042463795
Greece,Greece,2360,0.0002684012362
Greece,Romania,50,0.000002469087274
India,Tibetan,56500,
Kenya,Mozambique,230,0.00002510496605
Kenya,Namibia,60,0.00007688522574
Kenya,Rwanda,250,0.00006658603542
Kenya,Sudan,290,0.00002820545241
Kenya,South Africa,50,0.000002189194478
Cambodia,VietNam,20000,0.0004607521313
Lesotho,South Africa,70,0.000003064872269
"China, Macao SAR",China,66000,0.00008065353806
Morocco,Czech Republic,70,0.00000710078067
Morocco,Spain,680,0.00002010969781
Morocco,Hungary,130,0.00001257507562
Morocco,Poland,150,0.000004592169433
Morocco,Russian Federation,170,0.000001303640993
Mexico,Cuba,2200,0.000252434762
Nepal,Tibetan,8060,
Peru,Bolivia,1400,0.0003107121567
Sudan,"Congo, Rep.",5990,0.0002993512972
Sudan,"Congo, Rep.",360,0.00001799106294
Sudan,Ethiopia,54350,0.001912716971
Sudan,Chad,500,0.0001372288392
Senegal,Cabo Verde,400,0.001480395858
Senegal,Guinea-Bissau,66660,0.09364634946
Senegal,Guinea-Bissau,1140,0.001601512727
Senegal,Nigeria,60,0.000001071784557
Serbia and Kosovo (S/RES/1244 (1999)),Albania,3920,0.001835653734
Serbia and Kosovo (S/RES/1244 (1999)),Greece,18930,0.002152896356
Serbia and Kosovo (S/RES/1244 (1999)),Hungary,3270,0.0003163115175
Swaziland,South Africa,50,0.000002189194478
Turkey,Albania,390,0.0001826288154
Turkey,Bulgaria,320,0.00003769329297
Turkey,Hungary,90,0.000008705821583
Turkey,Romania,50,0.000002469087274
Turkey,Serbia and Kosovo (S/RES/1244 (1999)),150,
United Rep. of Tanzania,"Congo, Rep.",1850,0.00009245407344
United Rep. of Tanzania,"Congo, Rep.",200,0.000009995034966
United Rep. of Tanzania,Mozambique,55100,0.006014276648
United Rep. of Tanzania,Malawi,100,0.00002172155015
United Rep. of Tanzania,Rwanda,14000,0.003728817983
Uganda,"Congo, Rep.",33730,0.001685662647
Uganda,"Congo, Rep.",210,0.00001049478671
Uganda,Rwanda,72000,0.0191767782
Uganda,Rwanda,60,0.0000159806485
Uganda,Sudan,74000,0.007197253372
Uganda,Sudan,300,0.00002917805421
Venezuela (Bolivarian Republic of),Cuba,14500,0.001663774567
Zambia,Angola,9910,0.001462432529
Zambia,Mozambique,4740,0.0005173806046
Zambia,Malawi,150,0.00003258232522
Zambia,Namibia,840,0.00107639316
Zambia,South Africa,290,0.00001269732797